SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
19-01252281,"4734 TREMONT ST, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 08:03:42 AM,01/27/2020 02:42:48 AM,10/24/2019 08:03:42 AM,Investigation Complete,Standard,API,"(32.79639279061109000,-96.76826446273124000)",500t000000NrUIKAA3
19-01245773,"2710 MCKINNEY AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/31/2019 11:59:00 PM,Closed,10/22/2019 02:34:24 PM,01/27/2020 02:53:57 AM,10/22/2019 02:34:24 PM,Investigation Complete,Standard,API,"(32.79772547080186500,-96.80121016636990000)",500t000000NZxAGAA1
20-00054223,"635 OLD SOUTH PKWY, DALLAS, TX, 75217",5,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/06/2020 11:59:00 PM,Closed,01/16/2020 05:47:58 PM,01/27/2020 01:46:43 AM,01/16/2020 05:47:58 PM,Work Could not be Completed,Standard,API,"(32.72212725111658000,-96.69308624288037000)",500t000000R2gFgAAJ
19-01425679,"1511 N WASHINGTON AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 09:13:26 AM,01/27/2020 02:28:42 AM,12/12/2019 09:13:26 AM,,Standard,API,"(32.79671529563756000,-96.78501944179239000)",500t000000OfPA7AAN
19-01182028,"2811 OBANNON DR, DALLAS, TX, 75224",4,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,10/24/2019 10:59:00 PM,Closed,10/04/2019 09:11:45 AM,01/27/2020 01:53:24 AM,10/04/2019 09:11:45 AM,No Action Required,Standard,API,"(32.71409313789404000,-96.83269458178361000)",500t000000N4H1YAAV
19-01287854,"1011 FAIRVIEW AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/13/2020 11:59:00 PM,Closed,11/04/2019 09:19:29 AM,01/27/2020 02:10:47 AM,11/04/2019 09:19:29 AM,Investigation Complete,Standard,API,"(32.79313117408276000,-96.75121015029240000)",500t000000NvI2EAAV
19-01385940,"3014 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/10/2020 11:59:00 PM,Closed,12/02/2019 10:58:26 AM,01/27/2020 02:37:11 AM,12/02/2019 10:58:26 AM,Investigation Complete,Standard,API,"(32.78442175396265000,-96.78027699759916000)",500t000000OduwRAAR
19-01444747,"3036 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed (Duplicate),12/17/2019 09:23:40 PM,01/27/2020 02:05:28 AM,12/17/2019 09:23:40 PM,Investigation Complete,Standard,API,"(32.78522128427139000,-96.78014015323930000)",500t000000PxpxBAAR
19-01402838,"5217 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,12/05/2019 02:23:04 PM,01/27/2020 02:28:05 AM,12/05/2019 02:23:04 PM,Investigation Complete,Standard,API,"(32.79801953876722000,-96.76050944156319000)",500t000000OeTHdAAN
19-01420810,"3929 HOLMES ST, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 08:53:17 AM,01/27/2020 02:03:27 AM,12/11/2019 08:53:17 AM,Investigation Complete,Standard,API,"(32.75286161690891000,-96.76945604562604000)",500t000000Of8a7AAB
19-01269177,"S FLEMING AVE & E 11TH ST, DALLAS, TX, 75203",4,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,11/12/2019 11:59:00 PM,Closed,10/29/2019 09:34:21 AM,01/27/2020 02:51:59 AM,10/29/2019 09:34:21 AM,Work Completed,Standard,API,"(32.74675406584314000,-96.80977267019367000)",500t000000NuFzGAAV
19-01394479,"2609 MARBELLA LN, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,In Progress,12/04/2019 08:42:45 AM,01/27/2020 02:27:06 AM,12/04/2019 08:42:45 AM,,Standard,API,"(32.82247743522853500,-96.67015319732980000)",500t000000OeDHIAA3
20-00012089,"1227 LAKELAND DR, DALLAS, TX, 75218",9,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,01/24/2020 11:59:00 PM,Closed,01/05/2020 03:51:30 PM,01/27/2020 02:06:01 AM,01/05/2020 03:51:30 PM,Work Could not be Completed,Standard,API,"(32.82257000528749600,-96.71439951906108000)",500t000000Pzu2KAAR
19-01354582,"1310 N RIVERFRONT BLVD, DALLAS, TX, 75207",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 08:38:02 AM,01/27/2020 02:46:38 AM,11/21/2019 08:38:02 AM,Investigation Complete,Standard,API,"(32.78921614499512000,-96.81938338673923000)",500t000000OcojFAAR
19-01169495,"2803 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/10/2019 11:59:00 PM,Closed,10/01/2019 01:25:48 PM,01/27/2020 01:13:15 AM,10/01/2019 01:25:48 PM,Investigation Complete,Standard,API,"(32.78410224922098000,-96.78336572272514000)",500t000000N3OKUAA3
19-01311758,"3886 CYPRESS AVE, DALLAS, TX, 75227",7,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,11/22/2019 11:59:00 PM,Closed,11/09/2019 04:31:00 PM,01/27/2020 02:47:22 AM,11/09/2019 04:31:00 PM,Work Completed,Standard,API,"(32.77091630621037400,-96.66171120074083000)",500t000000NimFqAAJ
19-01430859,"1621 WALL ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,In Progress,12/13/2019 11:02:57 AM,01/27/2020 02:04:18 AM,12/13/2019 11:02:57 AM,,Standard,API,"(32.76808678247661000,-96.79208772483820000)",500t000000PxJzSAAV
19-01171765,"1919 S HARWOOD ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/11/2019 11:59:00 PM,Closed,10/02/2019 07:38:14 AM,01/27/2020 01:14:21 AM,10/02/2019 07:38:14 AM,Investigation Complete,Standard,API,"(32.77192280648761000,-96.78351062730476000)",500t000000N3aCmAAJ
19-01448165,"4115 SAN JACINTO ST, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/26/2020 11:59:00 PM,In Progress,12/18/2019 03:33:19 PM,01/27/2020 12:28:44 AM,12/18/2019 03:33:19 PM,,Standard,API,"(32.79950358150242000,-96.78234197341284000)",500t000000PyBMHAA3
19-01226302,"1928 MARTIN LUTHER KING JR BLVD, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed,10/17/2019 07:01:19 AM,01/27/2020 02:21:58 AM,10/17/2019 07:01:19 AM,Investigation Complete,Standard,API,"(32.76354328088124400,-96.77469206325041000)",500t000000NWqx4AAD
19-01223041,"2216 SPRINGHILL DR, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 09:33:24 AM,01/27/2020 02:21:11 AM,10/16/2019 09:33:24 AM,Investigation Complete,Standard,API,"(32.81371196482508000,-96.70271839115908000)",500t000000NWV8xAAH
19-01338142,"2200 S CESAR CHAVEZ BLVD, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,In Progress,11/16/2019 04:03:32 PM,01/27/2020 02:41:57 AM,11/16/2019 04:03:32 PM,,Standard,API,"(32.77118904247859000,-96.78099811471309000)",500t000000OcFI9AAN
19-01402840,"5114 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,12/05/2019 02:23:17 PM,01/27/2020 02:28:05 AM,12/05/2019 02:23:17 PM,Investigation Complete,Standard,API,"(32.79688903307500000,-96.76120024709927000)",500t000000OeTFTAA3
19-01406819,"4824 BELMONT AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/14/2020 11:59:00 PM,In Progress,12/06/2019 02:04:49 PM,01/27/2020 02:54:06 AM,12/06/2019 02:04:49 PM,,Standard,API,"(32.81146867240819600,-96.78377570384617000)",500t000000OebudAAB
19-01169546,"2460 SOUTHWELL RD, DALLAS, TX, 75229",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/10/2019 11:59:00 PM,Closed (Duplicate),10/01/2019 01:34:27 PM,01/27/2020 01:13:13 AM,10/01/2019 01:34:27 PM,Investigation Complete,Standard,API,"(32.88617041408913600,-96.89509746799300000)",500t000000N3Oc4AAF
19-01443788,"3116 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,In Progress,12/17/2019 05:17:47 PM,01/27/2020 02:05:45 AM,12/17/2019 05:17:47 PM,,Standard,Phone,"(32.78399054918712000,-96.77837109772959000)",500t000000PxoSMAAZ
19-01418002,"4600 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,Closed,12/10/2019 01:37:52 PM,01/27/2020 02:02:59 AM,12/10/2019 01:37:52 PM,Investigation Complete,Standard,API,"(32.80384135932305000,-96.77883985583884000)",500t000000Of1pZAAR
19-01343570,"503 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,In Progress,11/18/2019 04:04:29 PM,01/27/2020 02:46:11 AM,11/18/2019 04:04:29 PM,,Standard,API,"(32.78645939540841400,-96.76838845253698000)",500t000000OcQwjAAF
19-01430785,"4100 BONNIE VIEW RD, DALLAS, TX, 75216",4,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/27/2019 10:55:24 AM,Closed,12/13/2019 10:55:24 AM,01/27/2020 02:29:00 AM,12/13/2019 10:55:24 AM,Work Completed,Standard,Proactive,"(32.70972128081913000,-96.77543642199038000)",500t000000PxJr9AAF
19-01182466,"10256 CASA VIEW AVE, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/13/2019 11:59:00 PM,Closed,10/04/2019 10:18:28 AM,01/27/2020 01:53:22 AM,10/04/2019 10:18:28 AM,Investigation Complete,Standard,API,"(32.83266409024466000,-96.67691249189036000)",500t000000N4IinAAF
19-01374851,"2553 KATHLEEN AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/04/2020 11:59:00 PM,In Progress,11/26/2019 04:34:29 PM,01/27/2020 02:24:10 AM,11/26/2019 04:34:29 PM,,Standard,API,"(32.70763402206759000,-96.78647063495903000)",500t000000OdW3cAAF
19-01415105,"7026 ROCKY TOP CIR, DALLAS, TX, 75252",12,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,In Progress,12/10/2019 07:23:29 AM,01/27/2020 02:03:05 AM,12/10/2019 07:23:29 AM,,Standard,API,"(32.99011906108372500,-96.77996785137029000)",500t000000OewKvAAJ
19-01359472,"2500 SYLVAN AVE, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,Closed,11/22/2019 09:53:05 AM,01/27/2020 02:23:18 AM,11/22/2019 09:53:05 AM,Investigation Complete,Standard,API,"(32.77510015988846000,-96.83561192349248000)",500t000000OcyjyAAB
19-01235749,"1822 YOUNG ST, DALLAS, TX, 75201",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/27/2019 11:59:00 PM,Closed,10/19/2019 03:07:44 PM,01/27/2020 02:52:48 AM,10/19/2019 03:07:44 PM,Investigation Complete,Standard,API,"(32.77825407385702000,-96.79445735818102000)",500t000000NYWmKAAX
19-01231338,"400 S CARROLL AVE, DALLAS, TX, 75223",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,11/01/2019 08:46:12 AM,Closed,10/18/2019 08:46:12 AM,01/27/2020 02:52:31 AM,10/18/2019 08:46:12 AM,Work Completed,Standard,Proactive,"(32.78984708529796400,-96.76530394808570000)",500t000000NXSLyAAP
19-01225340,"900 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 02:50:12 PM,01/27/2020 02:21:56 AM,10/16/2019 02:50:12 PM,Investigation Complete,Standard,API,"(32.74301217060739000,-96.83767985270820000)",500t000000NWhbjAAD
19-01223288,"1203 S HASKELL AVE, DALLAS, TX, 75223",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 10:07:20 AM,01/27/2020 02:21:46 AM,10/16/2019 10:07:20 AM,Investigation Complete,Standard,API,"(32.78390313919352000,-96.75869468527263000)",500t000000NWWGnAAP
19-01430430,"4416 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,Closed,12/13/2019 10:08:37 AM,01/27/2020 02:28:58 AM,12/13/2019 10:08:37 AM,Investigation Complete,Standard,API,"(32.80208532120453000,-96.78094776521485000)",500t000000PxJBXAA3
19-01192542,"MELBA ST & N MADISON AVE, DALLAS, TX, 75208",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,10/21/2019 10:59:00 PM,Closed,10/07/2019 09:09:41 PM,01/27/2020 01:54:23 AM,10/07/2019 09:09:41 PM,Work Completed,Standard,API,"(32.74722005793812000,-96.82650243483084000)",500t000000N4zCfAAJ
19-01321122,"1900 OAK LAWN AVE, DALLAS, TX, 75207",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed,11/12/2019 02:25:02 PM,01/27/2020 02:49:00 AM,11/12/2019 02:25:02 PM,Investigation Complete,Standard,API,"(32.79960920526252000,-96.81763039090643000)",500t000000Obfm9AAB
19-01226299,"3312 RENAISSANCE DR, DALLAS, TX, 75287",12,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,11/06/2019 11:59:00 PM,Closed,10/17/2019 07:00:10 AM,01/27/2020 02:21:48 AM,10/17/2019 07:00:10 AM,No Action Required,Standard,API,"(32.99640480829276000,-96.86434644328180000)",500t000000NWqtqAAD
19-01377605,"MAPLESHADE LN & PRESTON RD, DALLAS, TX, 75252",12,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/11/2019 12:36:22 PM,Closed,11/27/2019 12:36:22 PM,01/27/2020 02:39:12 AM,11/27/2019 12:36:22 PM,Work Completed,Standard,Proactive,"(33.00932722528325000,-96.79556842793465000)",500t000000OdcFZAAZ
19-01467371,"S HASKELL AVE & PARRY AVE, DALLAS, TX, 75223",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/10/2020 07:17:27 AM,Closed,12/26/2019 07:17:28 AM,01/27/2020 01:41:08 AM,12/26/2019 07:17:28 AM,Work Completed,Standard,Proactive,"(32.78405664815599600,-96.76534177443700000)",500t000000PyrCeAAJ
19-01422570,"3940 CAPITOL AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 12:28:19 PM,01/27/2020 02:04:10 AM,12/11/2019 12:28:19 PM,Investigation Complete,Standard,API,"(32.80541823925205000,-96.78909118411373000)",500t000000OfDNNAA3
19-01223680,"3325 SINGLETON BLVD, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 10:58:05 AM,01/27/2020 02:21:46 AM,10/16/2019 10:58:05 AM,Investigation Complete,Standard,API,"(32.77899014684467000,-96.87492988592317000)",500t000000NWY96AAH
19-01354461,"1415 E ILLINOIS AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 08:13:06 AM,01/27/2020 02:46:26 AM,11/21/2019 08:13:06 AM,Investigation Complete,Standard,API,"(32.72031714115950500,-96.80445983984556000)",500t000000OcoRfAAJ
19-01460413,"CANTON ST & S HALL ST, DALLAS, TX, 75226",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/06/2020 08:53:23 AM,Closed,12/23/2019 08:53:23 AM,01/27/2020 01:40:58 AM,12/23/2019 08:53:23 AM,Work Completed,Standard,Proactive,"(32.78322923213886000,-96.77837784573882000)",500t000000PydlaAAB
20-00054502,"1542 S EDGEFIELD AVE, DALLAS, TX, 75224",1,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/06/2020 11:59:00 PM,Closed,01/16/2020 10:13:44 PM,01/27/2020 01:46:43 AM,01/16/2020 10:13:44 PM,No Action Required,Standard,API,"(32.73134640398402000,-96.84414163455332000)",500t000000R2h3lAAB
19-01229683,"4716 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed,10/17/2019 03:04:22 PM,01/27/2020 02:21:26 AM,10/17/2019 03:04:22 PM,Investigation Complete,Standard,API,"(32.80499081172625600,-96.77745999588039000)",500t000000NX6xLAAT
19-01391704,"1922 ELM ST, DALLAS, TX, 75201",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/11/2020 11:59:00 PM,In Progress,12/03/2019 01:22:12 PM,01/27/2020 02:38:15 AM,12/03/2019 01:22:12 PM,,Standard,API,"(32.78217126850270000,-96.79509178556829000)",500t000000Oe75VAAR
19-01444443,"4214 MT ROYAL ST, DALLAS, TX, 75211",3,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed,12/17/2019 08:13:37 PM,01/27/2020 02:05:39 AM,12/17/2019 08:13:37 PM,Investigation Complete,Standard,API,"(32.74682658281864000,-96.88863322092931000)",500t000000PxpUEAAZ
19-01411401,"5217 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/17/2020 11:59:00 PM,Closed,12/09/2019 09:34:06 AM,01/27/2020 02:54:19 AM,12/09/2019 09:34:06 AM,Investigation Complete,Standard,API,"(32.79801953876722000,-96.76050944156319000)",500t000000OelUVAAZ
19-01410376,5027 HAZELHURST LN,7,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed (Transferred),12/08/2019 06:40:28 PM,01/27/2020 02:55:00 AM,12/08/2019 06:40:28 PM,,Standard,API,"(32.78542150828328000,-96.70597536665925000)",500t000000OeiIlAAJ
19-01401131,"8729 PARK LN, DALLAS, TX, 75231",13,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,12/05/2019 10:37:37 AM,01/27/2020 02:28:19 AM,12/05/2019 10:37:37 AM,Work Completed,Standard,API,"(32.86968588396919000,-96.75058217579017000)",500t000000OeQA0AAN
19-01225189,"2976 CUMMINGS ST, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 02:32:20 PM,01/27/2020 02:21:46 AM,10/16/2019 02:32:20 PM,Investigation Complete,Standard,API,"(32.69944748051067000,-96.77123032246048000)",500t000000NWgnPAAT
19-01395996,"4800 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 11:24:10 AM,01/27/2020 02:38:36 AM,12/04/2019 11:24:10 AM,Investigation Complete,Standard,API,"(32.80550714421398000,-96.77683749106916000)",500t000000OeFv0AAF
19-01422510,"2908 SAMUELL BLVD, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,In Progress,12/11/2019 12:18:59 PM,01/27/2020 02:04:10 AM,12/11/2019 12:18:59 PM,,Standard,API,"(32.79282710321156000,-96.74407676116978000)",500t000000OfD6RAAV
19-01227512,"17795 DALLAS PKWY, DALLAS, TX, 75287",12,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed (Duplicate),10/17/2019 09:58:36 AM,01/27/2020 02:22:22 AM,10/17/2019 09:58:36 AM,,Standard,API,"(32.99207959902115000,-96.82982418101390000)",500t000000NWumGAAT
19-01249578,"8837 PALISADE DR, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/01/2020 11:59:00 PM,Closed,10/23/2019 12:22:56 PM,01/27/2020 02:43:37 AM,10/23/2019 12:22:56 PM,Investigation Complete,Standard,API,"(32.74699211661226000,-96.67102323392623000)",500t000000NaPYRAA3
19-01362582,"6500 BEXAR ST, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,Closed,11/22/2019 04:28:37 PM,01/27/2020 02:23:22 AM,11/22/2019 04:28:37 PM,Investigation Complete,Standard,API,"(32.73833284294445000,-96.75332537700815000)",500t000000Od443AAB
19-01239893,"3601 COLONIAL AVE, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/30/2019 11:59:00 PM,Closed,10/21/2019 11:57:50 AM,01/27/2020 02:53:37 AM,10/21/2019 11:57:50 AM,Investigation Complete,Standard,API,"(32.75744436176077600,-96.77191338921857000)",500t000000NZORwAAP
19-01430475,"1602 TRIBECA WAY, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,Closed,12/13/2019 10:13:54 AM,01/27/2020 02:04:18 AM,12/13/2019 10:13:54 AM,Investigation Complete,Standard,API,"(32.79786876675114000,-96.78459406081160000)",500t000000PxJG8AAN
19-01360081,"714 FABRICATION ST, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,New (Duplicate),11/22/2019 11:18:28 AM,01/27/2020 02:23:26 AM,11/22/2019 11:18:28 AM,,Standard,API,"(32.77613791885950000,-96.83502538213480000)",500t000000OczvvAAB
19-01219272,"500 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed (Duplicate),10/15/2019 11:15:02 AM,01/27/2020 02:49:57 AM,10/15/2019 11:15:02 AM,Investigation Complete,Standard,API,"(32.78669825407432000,-96.76821160504000000)",500t000000N6w12AAB
19-01436850,"1500 WOOD ST, DALLAS, TX, 75201",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/24/2020 11:59:00 PM,New,12/16/2019 09:49:27 AM,01/27/2020 02:05:10 AM,12/16/2019 09:49:27 AM,,Standard,Phone,"(32.77854087253316000,-96.79800624658864000)",500t000000PxXJ8AAN
19-01236632,"W BROOKLYN AVE & S ZANG BLVD, DALLAS, TX, 75208",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,11/01/2019 10:59:00 PM,Closed,10/20/2019 11:39:24 AM,01/27/2020 02:53:16 AM,10/20/2019 11:39:24 AM,No Action Required,Standard,API,"(32.73923037130645000,-96.82448729872250000)",500t000000NYyysAAD
19-01413788,"302 W 10TH ST, DALLAS, TX, 75208",1,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/27/2019 11:59:00 PM,Closed,12/09/2019 03:24:47 PM,01/27/2020 02:55:23 AM,12/09/2019 03:24:47 PM,No Action Required,Standard,API,"(32.74494487613500000,-96.82659713249305000)",500t000000OesntAAB
19-01384940,"2119 NORWOOD DR, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/10/2020 11:59:00 PM,Closed,12/02/2019 09:08:26 AM,01/27/2020 02:39:33 AM,12/02/2019 09:08:26 AM,Investigation Complete,Standard,API,"(32.83955086247930000,-96.67797931653466000)",500t000000OdsxrAAB
19-01435131,"7525 SCYENE RD, DALLAS, TX, 75227",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,Closed,12/14/2019 10:37:17 PM,01/27/2020 02:29:48 AM,12/14/2019 10:37:17 PM,No Action Required,Standard,Phone,"(32.76344792232073000,-96.69216911968478000)",500t000000PxRuIAAV
19-01376359,"716 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 09:53:27 AM,01/27/2020 02:39:06 AM,11/27/2019 09:53:27 AM,,Standard,API,"(32.74299567421814000,-96.83431282609894000)",500t000000Oda4yAAB
19-01213977,"400 N ZANG BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/23/2019 11:59:00 PM,Closed (Duplicate),10/14/2019 09:43:58 AM,01/27/2020 02:49:48 AM,10/14/2019 09:43:58 AM,Investigation Complete,Standard,API,"(32.74810121297239400,-96.82435425891424000)",500t000000N6WzBAAV
19-01238977,"2610 FORT WORTH AVE, DALLAS, TX, 75211",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/30/2019 11:59:00 PM,In Progress (Duplicate),10/21/2019 10:03:28 AM,01/27/2020 02:53:20 AM,10/21/2019 10:03:28 AM,,Standard,API,"(32.75813635832664000,-96.86435956229960000)",500t000000NZJvCAAX
19-01274266,"733 CLIFFVIEW DR, DALLAS, TX, 75217",8,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/08/2020 11:59:00 PM,Closed,10/30/2019 11:29:10 AM,01/27/2020 02:40:28 AM,10/30/2019 11:29:10 AM,Investigation Complete,Standard,API,"(32.70413736193621000,-96.67200030617110000)",500t000000NuqmIAAR
19-01481256,"1279 N STEMMONS SERV SB, DALLAS, TX, 75207",6,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,01/22/2020 11:59:00 PM,Closed,12/30/2019 01:31:19 PM,01/27/2020 02:00:18 AM,12/30/2019 01:31:19 PM,Work Could not be Completed,Standard,Phone,"(32.79118063912485000,-96.81433730594995000)",500t000000PzJZgAAN
